period,ticker,expected_ror,risk,sharpe_ratio,executed_at
1YR,AAPL,0.0018695508,0.0138288012,0.1351925404,"2026-06-07 13:41:48"
1YR,KGC,0.0033624570,0.0315169160,0.1066873750,"2026-06-07 13:41:48"
1YR,MU,0.0100682526,0.0414235926,0.2430559961,"2026-06-07 13:41:48"
1YR,PLTR,0.0014614723,0.0323799018,0.0451351671,"2026-06-07 13:41:48"
1YR,SPY,0.0010749894,0.0074274056,0.1447328277,"2026-06-07 13:41:48"
1YR,UTHR,0.0027038038,0.0312691689,0.0864686824,"2026-06-07 13:41:48"
1YR,VRSN,0.0004312801,0.0172373683,0.0250200664,"2026-06-07 13:41:48"
2YR,AAPL,0.0011613080,0.0176935189,0.0656346566,"2026-06-07 13:42:00"
2YR,KGC,0.0030824131,0.0295475198,0.1043205358,"2026-06-07 13:42:00"
2YR,MU,0.0048282858,0.0411476952,0.1173403694,"2026-06-07 13:42:00"
2YR,PLTR,0.0047726447,0.0395965561,0.1205318132,"2026-06-07 13:42:00"
2YR,SPY,0.0008124175,0.0105018355,0.0773595703,"2026-06-07 13:42:00"
2YR,UTHR,0.0017750276,0.0262676468,0.0675746722,"2026-06-07 13:42:00"
2YR,VRSN,0.0011742728,0.0157309557,0.0746472668,"2026-06-07 13:42:00"
3YR,AAPL,0.0009143111,0.0162227792,0.0563597078,"2026-06-07 13:42:13"
3YR,KGC,0.0028961777,0.0274174104,0.1056327956,"2026-06-07 13:42:13"
3YR,MU,0.0040917620,0.0361686187,0.1131301697,"2026-06-07 13:42:13"
3YR,PLTR,0.0040340542,0.0402919997,0.1001204759,"2026-06-07 13:42:13"
3YR,SPY,0.0008777104,0.0095107553,0.0922860912,"2026-06-07 13:42:13"
3YR,UTHR,0.0015735089,0.0233919483,0.0672671154,"2026-06-07 13:42:13"
3YR,VRSN,0.0004342552,0.0144178028,0.0301193721,"2026-06-07 13:42:13"
4YR,AAPL,0.0008991094,0.0171557214,0.0524087188,"2026-06-07 13:42:25"
4YR,KGC,0.0023602016,0.0282119778,0.0836595583,"2026-06-07 13:42:25"
4YR,MU,0.0031810555,0.0342106060,0.0929844821,"2026-06-07 13:42:25"
4YR,PLTR,0.0036940923,0.0412112565,0.0896379437,"2026-06-07 13:42:25"
4YR,SPY,0.0007088210,0.0105630754,0.0671036561,"2026-06-07 13:42:25"
4YR,UTHR,0.0010899210,0.0220474923,0.0494351472,"2026-06-07 13:42:25"
4YR,VRSN,0.0006100264,0.0151513212,0.0402622571,"2026-06-07 13:42:25"
5YR,AAPL,0.0009033050,0.0172722581,0.0522980239,"2026-06-07 13:42:37"
5YR,KGC,0.0015038598,0.0276504188,0.0543883189,"2026-06-07 13:42:37"
5YR,MU,0.0025095512,0.0329018091,0.0762739564,"2026-06-07 13:42:37"
5YR,PLTR,0.0023604636,0.0411711830,0.0573329059,"2026-06-07 13:42:37"
5YR,SPY,0.0005812420,0.0107418436,0.0541100807,"2026-06-07 13:42:37"
5YR,UTHR,0.0011477446,0.0221581989,0.0517977376,"2026-06-07 13:42:37"
5YR,VRSN,0.0003551143,0.0157460996,0.0225525249,"2026-06-07 13:42:37"
ALL,AAPL,0.0009033050,0.0172722581,0.0522980239,"2026-06-07 13:42:49"
ALL,KGC,0.0015038598,0.0276504188,0.0543883189,"2026-06-07 13:42:49"
ALL,MU,0.0025095512,0.0329018091,0.0762739564,"2026-06-07 13:42:49"
ALL,PLTR,0.0023604636,0.0411711830,0.0573329059,"2026-06-07 13:42:49"
ALL,SPY,0.0005812420,0.0107418436,0.0541100807,"2026-06-07 13:42:49"
ALL,UTHR,0.0011477446,0.0221581989,0.0517977376,"2026-06-07 13:42:49"
ALL,VRSN,0.0003551143,0.0157460996,0.0225525249,"2026-06-07 13:42:49"
