period,customer_name,ticker,ticker_name,purchase_date,as_of_date,purchase_price,current_price,variation_pct,expected_ror_pct,risk_pct,sharpe_ratio,current_weight_pct,optimal_weight_pct,executed_at
1YR,Benchmark,SPY,"SPDR S&P 500 ETF Trust",NULL,2026-05-29,NULL,756.479980,NULL,0.1075,0.7427,0.1447,NULL,NULL,"2026-06-07 13:42:49"
1YR,"Jim Simons",AAPL,"Apple Inc",2021-06-01,2026-05-29,121.142166,312.059998,157.60,0.1870,1.3829,0.1352,8.06,21.07,"2026-06-07 13:42:49"
1YR,"Jim Simons",KGC,"Kinross Gold Corp",2021-06-01,2026-05-29,7.411746,30.180000,307.19,0.3362,3.1517,0.1067,12.74,16.63,"2026-06-07 13:42:49"
1YR,"Jim Simons",MU,"Micron Technology Inc",2021-06-01,2026-05-29,82.070419,971.000000,1083.13,1.0068,4.1424,0.2431,34.59,37.89,"2026-06-07 13:42:49"
1YR,"Jim Simons",PLTR,"Palantir Technologies Inc",2021-06-01,2026-05-29,23.059999,156.539993,578.84,0.1461,3.2380,0.0451,27.86,7.04,"2026-06-07 13:42:49"
1YR,"Jim Simons",UTHR,"United Therapeutics Corporation",2021-06-01,2026-05-29,177.820007,556.820007,213.14,0.2704,3.1269,0.0865,13.33,13.48,"2026-06-07 13:42:49"
1YR,"Jim Simons",VRSN,"VeriSign Inc",2021-06-01,2026-05-29,213.836044,285.380005,33.46,0.0431,1.7237,0.0250,3.42,3.90,"2026-06-07 13:42:49"
2YR,Benchmark,SPY,"SPDR S&P 500 ETF Trust",NULL,2026-05-29,NULL,756.479980,NULL,0.0812,1.0502,0.0774,NULL,NULL,"2026-06-07 13:42:49"
2YR,"Jim Simons",AAPL,"Apple Inc",2021-06-01,2026-05-29,121.142166,312.059998,157.60,0.1161,1.7694,0.0656,8.06,11.93,"2026-06-07 13:42:49"
2YR,"Jim Simons",KGC,"Kinross Gold Corp",2021-06-01,2026-05-29,7.411746,30.180000,307.19,0.3082,2.9548,0.1043,12.74,18.97,"2026-06-07 13:42:49"
2YR,"Jim Simons",MU,"Micron Technology Inc",2021-06-01,2026-05-29,82.070419,971.000000,1083.13,0.4828,4.1148,0.1173,34.59,21.33,"2026-06-07 13:42:49"
2YR,"Jim Simons",PLTR,"Palantir Technologies Inc",2021-06-01,2026-05-29,23.059999,156.539993,578.84,0.4773,3.9597,0.1205,27.86,21.91,"2026-06-07 13:42:49"
2YR,"Jim Simons",UTHR,"United Therapeutics Corporation",2021-06-01,2026-05-29,177.820007,556.820007,213.14,0.1775,2.6268,0.0676,13.33,12.29,"2026-06-07 13:42:49"
